
AR                 0   136.500     3.330     0.000     0.000     0.000
AR*                 0   136.500     3.330     0.000     0.000     0.000
C                  0    71.400     3.298     0.000     0.000     0.000  !(*)
C2                 1    97.530     3.621     0.000     1.760     4.000
C2O                1   232.400     3.828     0.000     0.000     1.000 ! *
CN2                1   232.400     3.828     0.000     0.000     1.000 ! OIS
C2H                1   209.000     4.100     0.000     0.000     2.500
C2H2               1   209.000     4.100     0.000     0.000     2.500
C2H2OH             2   224.700     4.162     0.000     0.000     1.000  !(*)
CH2OH              2   417.000     3.690     1.700     0.000     2.000
C2H3               2   209.000     4.100     0.000     0.000     1.000  !(*)
CH3CO3             2   436.000     3.970     0.000     0.000     2.000 ! wjp
C2H4               2   280.800     3.971     0.000     0.000     1.500
CH3CO3H            2   436.000     3.970     0.000     0.000     2.000 ! wjp
C2H5               2   252.300     4.302     0.000     0.000     1.500
C2H3CHO            2   428.8       4.958     2.9       0.0       1.0   ! new
C2H5O              2   470.600     4.410     0.000     0.000     1.500 ! nmm
C2H5O2             2   470.600     4.410     0.000     0.000     1.500 ! wjp
C2H5O2H            2   470.600     4.410     0.000     0.000     1.500 ! wjp
C2H6               2   252.300     4.302     0.000     0.000     1.500
C2N                1   232.400     3.828     0.000     0.000     1.000 ! OIS
C2N2               1   349.000     4.361     0.000     0.000     1.000  !(OIS)
C3H2               2   209.000     4.100     0.000     0.000     1.000  !(*)
C3H3               1   252.000     4.760     0.000     0.000     1.000
C3H4               1   252.000     4.760     0.000     0.000     1.000
C3H4P              1   252.000     4.760     0.000     0.000     1.000 ! JAM
PC3H4              1   252.000     4.760     0.000     0.000     1.000 ! new
AC3H4              1   252.000     4.760     0.000     0.000     1.000 ! new
CC3H4              1   252.000     4.760     0.000     0.000     1.000 ! new
C3H5               2   266.800     4.982     0.000     0.000     1.000 ! cp
IC3H5              2   266.800     4.982     0.000     0.000     1.000 !
C2H5CO             2   424.600     4.820     0.000     0.000     1.000 ! nmm
IC2H5CO             2   424.600     4.820     0.000     0.000     1.000 !
C3H5O              2   411.000     4.820     0.000     0.000     1.000 ! nmm
C3H5O2             2   411.000     4.820     0.000     0.000     1.000 ! nmm
C3H5O2H            2   411.000     4.820     0.000     0.000     1.000 ! nmm
C3H6               2   266.800     4.982     0.000     0.000     1.000
C2H5CHO            2   424.600     4.820     0.000     0.000     1.000 ! nmm
IC2H5CHO            2   424.600     4.820     0.000     0.000     1.000 !
C3H7               2   266.800     4.982     0.000     0.000     1.000
IC3H7              2   266.800     4.982     0.000     0.000     1.000
